Project Name,Project Number,Project Type
1 Lower Common South,0325,
100 Holdenhurst Road,13505,Mixed Use
101 Murray Street,10110,Residential
110 West Heath Road,0042,Residential
"111 Buckingham Palace Road, Victoria",13280,Adaptive Reuse
1201 K Street,5230,Office
123 Judd Street Expansion,12800,Office
14A Konstitucijos Avenue,13045,Office
15-16 Minories,4720,Residential
151 East 60th Street NY,10960,Residential
161 Maiden Lane - NY,5480,Residential
19-35 Baker Street,10340,Mixed Use
1900 Crystal Drive,10440,Mixed Use
21-27 Ashley Road,11790,Mixed Use
210 South 12 Street,11980,Residential
22 Hanover Square,10670,Residential
23/24 LSA Design Think Tank,8000,
2300 Crystal,12445,Office
25 Park Lane,12720,Office
2525 Crystal Drive,12725,Office
260 Eleventh Avenue New York,11120,Office
29 Tite Street,13310,Residential
3 World Trade Center,5270,Office
30 Bay Street Toronto,11370,Office
300 New Jersey Ave Expansion,12020,Office
300 New Jersey Avenue,4680,Office
350 West Broadway,4710,Residential
36 Central Park South - NY,10490,Residential
4 Woodside Avenue,80007,
41 Commercial Road,12875,Office
425 Park Avenue,6740,Office
4445 Willard Avenue,6420,Office
551 West Chelsea,5060,Residential
"61 Ninth Avenue, New York",10630,Office
8 Chifley,5420,Office
88 Wood Street,1376,Office
99 Bishopsgate,13015,Office
Abbey National,4210,Office
Abengoa Bridge,5530,Transport
Abengoa Castellana,6620,Office
"Abengoa Extension, Seville",6760,Office
Abengoa Fitout,5540,Office
Abu Dhabi - 3rd Crossing,2160,Transport
Abuja Technology Village,5840,Office
Accra,3710,Masterplanning
Adaptaciones CPA,6580,Office
Adelaide Contemporary,11670,Cultural & Leisure
Adelshoffen - Schiltigheim Masterplan,6010,Masterplanning
Adhoc - Noxi,8000,
Adhoc - OMC,8000,
Adhoc Invoice - H & F,8000,
Adhoc Invoice - Montparnase,8000,
Adhoc Invoices - IAC,8000,
Adhoc-TGP,8000,
Adhoc-TGP,8000,
Adshel,3470,Transport
Aerospace Campus - Toulouse,5400,Masterplanning
Affordable Housing,5077,Residential
Air Terminal Farnborough,1010,Transport
Airport Berlin,4760,Transport
Aix En Provence,1330,Masterplanning
Akihabara Masterplan,2300,Masterplanning
Al Daayan Masterplan,12280,Health & Science
Albert Embankment,6390,Residential
Albert Embankment - Fire Station,4040,Civic
Alexandra Palace,2590,
Almada Eastern Riverside,3740,Masterplanning
Alpha Place,3760,Residential
Alta Velocidad Masterplan,5110,Masterplanning
Amano Research Laboratories,2770,R & D
Ancoats - Manchester,3320,Masterplanning
Ancoats Hospital Site,3322,Residential
Andhra Pradesh India,10990,Masterplanning
Annecy- France,6800,Cultural & Leisure
Antarctic Base,4730,R & D
Antwerp Law Courts,2850,Civic
Antwerp Masterplan,2851,Masterplanning
Aram Module,0002,Health & Science
"Architects, not  Architecture",8000,
Architectural Policy - Labour,0555,Other
Architecture Foundation,0777,Other
Architecture Salon Milan 91,1640,
Archives (RSHP LLP),0110,Internal
Archway Regeneration,3460,Masterplanning
Arden Central Modular,50036,Modular Housing
Arden Central Redevelopment,11975,Mixed Use
Ardersier Port,13020,Masterplanning
Arles les Minimes,13395,Masterplanning
Arno Bridge & Masterplan,2600,Masterplanning
Arno Masterplan,0301,Masterplanning
Arno Masterplan,12285,Masterplanning
Arnulfpark,4420,Masterplanning
Artem Nancy,5200,Masterplanning
Arundel Great Court,10510,Mixed Use
Arundel Great Court (North Site),11100,Mixed Use
Arundel Great Court (South Site),10970,
Ashford Designer Retail Outlet,2670,Retail
Assembly Square,13090,Residential
AstraZeneca - New Cambridge Site,10130,R & D
Atrio,5580,Masterplanning
Atrio Centro de Convenciones,12235,Cultural & Leisure
"Auditorio De Música, Málaga",5450,Cultural & Leisure
Aupec Competition,1440,Office
Autonomous House,0003,Residential
Axis Square,13095,Mixed Use
Aybrook Street,0038,Office
B & B Neighbours Negotiations,1502,Office
B & B Public Relations,1501,Office
B E T,0444,
B&B Italia,0004,Office
B6 Mercedes Fit-Out,1858,Office
B8 Flat Plan Amendments,1855,Residential
B8 Scope Additional Work,1857,Office
Baa Terminal 5 Category 1 Work,1060,Transport
Baa Terminal 5 Category 2 Work,1061,Transport
Bahia De Pasaia Masterplan,5830,Masterplanning
Ball Eye Quarry,4530,Masterplanning
Baltimore Project Management,1209,Cultural & Leisure
Bankside - Block D Hotel Option,4235,Hotels &  Restaurants
Bankside Cultural Quarter,4820,Cultural & Leisure
Bankside Yards,12035,Mixed Use
Bao An Airport Terminal 4,12595,Transport
Barajas T4 Expansion,12530,Transport
Barajas T4 Phase 2 Expansion,13465,Transport
Barangaroo  Masterplan Modification 6,6590,Masterplanning
Barangaroo Building C3,6320,Office
Barangaroo Building C4,6120,Mixed Use
Barangaroo Building C5,6125,Office
Barangaroo Central EOI,11030,Masterplanning
Barangaroo South Masterplan,6110,Masterplanning
Barangaroo Stage 1,5620,Mixed Use
Barangaroo Stage 2,5625,Masterplanning
Barangaroo Sydney,6100,Mixed Use
Barcelona & L'Hospitalet Law Courts,3650,Civic
Barcelona - Chamber of Commerce HQ,5460,Civic
Barcelona Diagonal,4830,Masterplanning
Barcelona Diagonal - Glorias,3430,Retail
Barcelona Lesseps Square,3380,Masterplanning
Barrow Street,2960,Masterplanning
Basil Street,3420,Masterplanning
Basildon Claim,0337,Other
Basildon Town Centre,50030,Modular Housing
Basingview BV 16,3391,Office
Basingview Masterplan,3390,Masterplanning
Bayeux Tapestry Museum,13215,Cultural & Leisure
BBB Centre,13415,Civic
BBC,0305,Office
BBC Scotland,3330,Office
BBVA,5670,Office
BCI Award,8000,
Beaubourg - Refurbishment,2250,Cultural & Leisure
BEEAH Hospital,13355,Health & Science
Beijing CBD Masterplan,6190,Residential
Beijing New International Airport,6510,Transport
Beirut Grand Theatre Hotel,5860,Hotels &  Restaurants
Beirut Orient Le Jour,6030,Mixed Use
Beirut Plot 20-02 Office,6020,Office
Belfiore - Fiat Competition,3830,Industrial
Belsize Lane,12475,Residential
Benchmark Development,5760,Residential
Bercy Charenton,6180,Masterplanning
Bercy Charenton Phase 2,12270,Masterplanning
Berezhkovskaya Embankment,13035,Office
Berkeley Hotel - Additional Fee Claims,4807,Hotels &  Restaurants
Berkeley Hotel - Demolitions Alterations,4805,Hotels &  Restaurants
Berkeley Hotel - Extension New Wing,4802,Hotels &  Restaurants
Berkeley Hotel - Fit Out,4804,Hotels &  Restaurants
Berkeley Hotel - Lower Scheme,4808,Hotels &  Restaurants
Berkeley Hotel - Main Entrance,4801,Hotels &  Restaurants
Berkeley Hotel - North Building Refurb,4803,Hotels &  Restaurants
Berkeley Hotel - Spa Fit Out,4806,Hotels &  Restaurants
Berlin - Treptow,2030,Masterplanning
Berlin Airport,2530,Transport
Berlin Competition,0640,
Berlin Exhibition,1590,Exhibition
Berlin Forum,6440,Cultural & Leisure
Berlin Olympics,1890,Recreation
Berlin Underground Station,2020,Transport
Bezos Learning Center,13100,Cultural & Leisure
Bfi Feasibility,2242,Masterplanning
Billingsgate - Modifications,1800,Recreation
Billingsgate Feasibility,2360,Recreation
Billingsgate Market,0341,Mixed Use
Biocitech Campus,13210,
Biocitech Campus,13210,R & D
Birmingham City Library,3730,Civic
Birmingham City Parkgate,4100,Mixed Use
Blackwall Yard - High Level Work,1520,Office
Bletchley Housing,6850,Residential
Bletchley Police and Fire Station,12910,Mixed Use
Blue Run Distillery,13175,Industrial
Blueprint Extra (japan),1610,Other
"Blythe House,  Kensington Olympia",13275,Mixed Use
Bodegas Protos,4150,Industrial
Bogota Philharmonic Palace,12275,Cultural & Leisure
Bogota Pompidou,11720,Cultural & Leisure
Bombay Sapphire Distillery UK,6060,Industrial
Bond Centre,3230,Cultural & Leisure
Bondway - Vauxhall,3680,
Bordeaux Additional Works,1993,Civic
Bordeaux Euratlantique,6200,Masterplanning
Bordeaux External Works,1995,Civic
Bordeaux Facade,1992,Civic
Bordeaux Law Courts,1990,Civic
Bordeaux Law Courts Fire,6220,Civic
Bordeaux Publicity,1994,Civic
Bosch,3160,Office
Boston Reserved Channel,12695,Masterplanning
Boulevard Circulaire,12765,Transport
Bovis - Europier,1966,Transport
Bovis - T1,1983,Transport
Bow Brickhill - Milton Keynes,3580,Masterplanning
BP 171 Talgarth Road,13370,Mixed Use
BP4 Canary Wharf,3416,Office
Bracknell Masterplan,4241,Masterplanning
Bracknell Northern Buildings,4242,Masterplanning
Bracknell Town Centre,4240,Masterplanning
Brau And Brunnen Hotel,1506,Hotels &  Restaurants
Brazil Airports,12160,Transport
Brent Cross South,11260,Office
Brentwood - British Gas Site,4050,Residential
Brentwood - NV Tools Site,3920,Residential
Brentwood - NV Tools Site 2,3921,Residential
Brescia Masterplan,5180,Masterplanning
Brewer Street,10540,Mixed Use
Brewer Street,3080,Office
Brewer Street (RD),10900,Mixed Use
Bridport Place,5890,Residential
"Brighton, King Alfred",3990,Recreation
Brisbane QIC,10780,Mixed Use
British Library Extension,11010,Mixed Use
British Museum WCEC,5370,Cultural & Leisure
British WCEC Book,10330,Internal
Brno Technology,1930,R & D
Broadgate 5,5415,Office
Broadway East Bethnal Green,11690,Residential
Broadwick House,2550,Office
Broadwick House Fit-out,2555,Office
Brochures General,5002,Internal
Bromley by Bow Gasworks,12135,Residential
Brook House - Mayfair,1770,Residential
Brookings Institution - Washington DC,10910,Education
Brownfield Sites,2830,Masterplanning
Brunswick Master Plan,1560,Masterplanning
Brunswick Wharf,0372,Masterplanning
Brussels Airport Business District,12610,Transport
BSF - Nottingham,5800,Education
Bucaramanga Masterplan,11840,Masterplanning
Bucharest 2000,2580,Masterplanning
Budapest Expo 95,1550,Masterplanning
Buena Vista,3340,Masterplanning
Burlington Gate,6780,Residential
Burrell Collection Competition,0005,Cultural & Leisure
Bussy St Georges,0660,Masterplanning
Buxin Towers,13000,Mixed Use
Buzzard Point - Washington,11180,Residential
BySteel Facade,12330,
Bysteel Facade,12330,Product Design
Cad Computer,0700,Internal
California Academy of Science,3050,Education
Cambrian Halls Of Residence,4500,Residential
Cambridge - Mitsubishi Project,2130,
Cambridge Judge Business School,6840,Education
Campus Palmas Altas,4990,Office
Can Gio Theatre,13170,Cultural & Leisure
Canada Water K1,50008,Modular Housing
Canada Water M1,50009,Modular Housing
Canada Water Stage 2,3970,Masterplanning
Canal +,1000,Office
Canary Pedestrian Footbridge,5362,Transport
Canary Riverside,5360,Office
Canary Riverside Hotel,3417,Hotels &  Restaurants
Canary Riverside Phase 2,3131,Office
Canary Riverside Revisited,3415,Office
Canary Riverside South - Additional Fees,5361,Office
Canary Wharf - Heron Quays,3411,Office
Canary Wharf - Pidemco,3130,Masterplanning
Canary Wharf Riverside South,3410,Office
Canary Wharf Towers,1080,Office
Cancer Centre at Guy's Hospital,6130,Health & Science
Cannon Street,2040,
Cannon Street Station,2440,Transport
Capco Project,11170,Masterplanning
"Capital House, Edgware Road",13270,Office
Capodichino Masterplan,5101,Masterplanning
Capodichino Metro Station,5100,Transport
Caracas Masterplan,6540,Masterplanning
Caracas Stadium,13485,
Caracas Theatre,6530,Cultural & Leisure
Cardiff - Wales Airport,1900,Transport
Cardiff Bay Redevelopment,0610,Masterplanning
Cardiff Central Quay,13110,Residential
Cardiff Crofts Street,50003,Modular Housing
Cardiff Plasmawr Road,50004,Modular Housing
Cardiff Star Centre Modular,50001,Modular Housing
Cardiff Thornhill Road,50002,Modular Housing
Carlton House,12205,Office
Carlton House Terrace,12205,Office
Castello - Piano Guida,2731,Masterplanning
Cavalaire Sur Mer,12935,Mixed Use
CB1 Cambridge Station,4940,Masterplanning
CB1 Concept Study,4942,Masterplanning
CB1 Leasehold Negotiations,4941,Masterplanning
CEC Shenzen Bay HQ,12390,Office
CECEP Development,12500,Mixed Use
CEMEX Fulham Riverside,13140,Residential
Cemusa,3930,Transport
Central Milton Keynes,3270,
Central Terminal Area,2970,Transport
Central Warsaw Airport Client Side,12450,Transport
Centre Building at LSE,10190,Education
Centre Commercial St Herblain,0370,Retail
Centre for Dental Medicine,12565,Health & Science
Centre Pompidou,0099,Cultural & Leisure
Centro De Negocios Pt Cartuja,5750,Office
Cersaire 2018,8000,
Challenger Site South Nevada,50021,Modular Housing
Chalupkova Bratislava,13580,Residential
Chamartin Station,12360,Masterplanning
Changfeng Residential,6350,Residential
Changfeng Site,10660,Residential
Changi T5 Singapore,11190,Transport
Channel 4,1460,Office
Channel 4 - Abortive Work,1462,Office
Channel 4 - Site Supervision,1461,Office
Channel 4 Logo,1463,Office
Channel 4 Rebranding,1464,Office
Charlton Riverside,12015,Masterplanning
Chase Plaza Jakarta,11480,Mixed Use
Chateau Lafite Rothshild,12710,Industrial
Chelmsford College,5212,Education
Chelsea Barracks,5280,Residential
Chelsea F.C.+ W.E.I.R,0502,Recreation
Cheng Du Masterplan,5980,Masterplanning
Chengdu Longhau,6700,Mixed Use
Chengdu Luoma TOD,12380,Mixed Use
Chessington St Mary's,11320,Residential
Cheval Thorney Court,13335,Residential
Ching Fu Group Headquarters,4980,Office
Chiswick Park,1455,Office
Chiswick Park - A B Feasibility,1451,Office
Chiswick Park - Buildings 4 and 5,4620,Office
Chiswick Park - Buildings 6 and 7,4623,Office
Chiswick Park - Buildings 8 and 9,4625,Office
Chiswick Park - North Decking,10150,Office
Chiswick Park B3 Tenant Requirements,1457,Office
Chiswick Park Building 7,4628,Office
Chiswick Park Development - Exhibition,1456,Office
Chiswick Park Development - Phase 2,1458,Office
Chiswick Park Development - Phase 3,1459,Office
Chiswick Park Management Suite,4627,Office
Chiswick Park North Kiosk,4629,Office
Chiswick Park Pedestrian Footbridge,1454,Transport
Chiswick Park Scheme 2,1450,Office
Chiswick Phase 3 - Buildings 6 and 7,1452,Office
Chongqing Centre,6710,Mixed Use
Chongqing Centre Marketing Suite,10040,Office
Chongquing Airport,5770,Transport
Christopher Columbus Add/work,1201,Cultural & Leisure
Christopher Columbus Centre,1200,Cultural & Leisure
CHU Paris,12355,Health & Science
Circle,5240,Health & Science
Citibank HQ Interiors,12290,Office
City Academy - Liverpool,3660,Education
Cityscape Changfeng,13165,Mixed Use
CKS 1,5990,Residential
Claridges Hotel Public Realm,12180,
Clere Street,4450,Residential
CMT - TIQ Building S5,11070,Office
CMT - TIQ Building S6,11080,Office
CMT - TIQ Building s9,11380,Office
Coin Street,0194,Masterplanning
Collins House,50016,Modular Housing
Colne Valley Masterplan,1790,Masterplanning
Commonwheel Live Share,11740,
Conference Hall And Hotel - Mallorca,4850,Hotels &  Restaurants
Convoys Wharf,3600,Masterplanning
Convoys Wharf 2,3601,Masterplanning
Convoys Wharf 3,3603,Masterplanning
Corby Civic Centre,4650,Civic
Cordis Hotel Kunshan,12830,
Covel Wells - Chelmsford,3820,Residential
Cowes Waterfront,4510,
CR Land Chimelong,13380,Mixed Use
CRC Haikou MIXC,12675,Mixed Use
Creation Of Zac Nice Plaine 2,1424,Masterplanning
Creek Vean,1130,Residential
Croydon - Wellesley Road,4070,Masterplanning
Croydon Millennium Walk,2500,Masterplanning
Crystal City Washington,11600,Office
"Cumberland Terrace, Toronto",6680,Residential
Cupertino Square Masterplan,10770,Masterplanning
Curtin University STEM Building,12250,Education
Custom House Sites,12060,Masterplanning
Daan Pool House,10560,Recreation
Daimler Chrysler - Claims,1859,
Daimler Chrysler - Housing,1853,Residential
Daimler Chrysler B8 Stair,1856,Office
Daimler Chrysler Office and Retail,1850,Office
Daimler Chrysler Offices,1851,Office
Daimler Chrysler Residential,1854,Residential
Daiwa - Additional Services,1377,Office
Daiwa / Shelly House,1375,Office
Daiwa Europe House - Scheme 1,1370,Office
Daiwa Listing,1373,Office
Daiwa P R,1372,Office
Daiwa Planning Brochure,1374,Office
Daiwa Strategy,1371,Office
Dallas Museum of Art,13340,
Damascus Airport,6260,Transport
Daning Heritage District,12430,Mixed Use
Danone Saclay Expansion,12915,Office
DAP Light,13470,
Darling Harbour,5080,Masterplanning
Davenport Green - Manchester,4180,Masterplanning
Daxing Convention Centre Masterplan,13285,Masterplanning
DCC Framework,12155,Residential
DCN - Madrid,10460,Masterplanning
DCN Madrid PR Material,12410,Masterplanning
DCN Public Space,12455,Other
Denver Union Terminal,3670,Masterplanning
Deptford Station,4170,Residential
Derby Town Centre,4540,Masterplanning
Desborough Wycombe,11540,Residential
Design Museum Exhibition 2008,7107,Exhibition
Design Research Unit Extension,0007,Office
Design Resources,0103,Internal
DFM - Design For Manufacture,5070,Residential
Doctors of the World,11400,Health & Science
Doha Museum,2750,Cultural & Leisure
Doha Port Cruise Terminal,11970,Transport
Dome - Glue,2616,Other
Domino Site B,13290,Office
Doolan Awards,8000,
Doorhandle,2070,Product Design
Dortmunder U,2010,Transport
Dortmunder U - Bb Studies,2011,Transport
Double Cove,5970,Residential
Dr Lopez Ibor Health Centre,4920,Health & Science
DTEK Level 45 Fit Out,12785,Office
Dublin Airport Terminal 2,5160,Transport
Dublin Housing,2940,Residential
Dundee contemporary Art Centre,80005,
Dunhua North Road,13255,Mixed Use
Dunhua Tower,13450,
Dunhua Tower,13450,Residential
Dunkerque - City Centre,1482,Masterplanning
Dunkerque - Neptune,1481,Masterplanning
Dunkerque Neptune,1480,Masterplanning
Dynacity - Seta,5600,Residential
Eade Road,50022,Modular Housing
Earls Court,11390,Masterplanning
Earls Court EC2 Plot,13225,Residential
Earls Court Redevelopment Masterplan,12515,Masterplanning
East London Arts and Music,10480,Education
East Manchester Strategic Masterplan,3030,Masterplanning
"East River Waterfront, NY",4360,Masterplanning
East Xinqiao Masterplan,12210,Masterplanning
Eastern City Cluster,8000,
Ebbsfleet,2380,Transport
Ebbsfleet South,4110,Masterplanning
EC Grant - Daimler Chrysler,1852,Office
Ecoquartier Seine,12820,Masterplanning
Edgar Road,11290,Residential
Edgware Broadwalk Masterplan,50027,Modular Housing
Edward Street - Deptford,11350,Residential
Eec - Joule,2121,Office
Eiffel Tower Redevelopment,11920,Civic
Eindhoven Masterplan,3490,Masterplanning
El Canaveral - Madrid,5380,Masterplanning
Elan Research Institute - Dublin,3000,R & D
Electric Vehicle Charging,12095,Utilities
Electronic Arts,2740,Office
Electronic Document Mgmt Systems,0556,Internal
Elias Residence,1341,Residential
Elizabeth House - Waterloo,11570,Mixed Use
Elizabeth Quay - Perth,10390,Mixed Use
Empire Road Residences,12420,Residential
"English Industrial Estates, Gateshead",0006,Office
Enm Bordeaux,1991,Education
Epamarne,1300,Masterplanning
Epamarne 2,1301,Masterplanning
EPFL Advanced Science Building,13195,Education
EPFL Education Hub,13300,Education
Epone,0368,Retail
ESET Headquarters Campus,12365,Office
Esselunga Retail,11800,Retail
Estacion de Autobuses y Parque - Caracas,10180,Transport
Este - Valladolid,4870,Masterplanning
Etoile Strasbourg,1510,Masterplanning
Euralille,1320,Office
"Euralille-tour "" Voix Du Nord""",1321,Office
Euro Airport Basel,12025,Transport
Eurocarree Frankfurt,2391,Transport
European Court of Human Rights,1120,Civic
European Investment Bank - Luxembourg,3750,Office
European Patent Office,4550,Office
European School of Osteopathy- Maidstone,6730,Education
Europier - 3D,2140,Transport
Europier - Additional Fees,1961,Transport
"Europier, Heathrow",1960,Transport
Euston Station,5490,Masterplanning
Evergrande Water World,12075,Retail
Ex Alitalia Site,4390,Mixed Use
Exhibitions - General,7100,Exhibition
Extension Task Force Work,2833,Other
Fairfield Halls - Croydon,3950,Mixed Use
Falkirk Schools,5040,Education
Farglory,5630,Office
Farglory Masterplan,6160,Masterplanning
Farnborough Masterplan,1011,Masterplanning
FC Barcelona,10820,Recreation
FeliCity Development,12400,Mixed Use
Financial Times Competition,0377,Office
